,ORIGIN_CITY,DEST_CITY,QUARTER,Carrier,Average_Delay_Time,Accidents,Average_Price,Food_Drink,Entertainment,Seat_comfort,Stuff_Service,Value_for_Money
205,Charlotte,Buffalo,4,American Airlines,5.079865017,108,247.2118867,2,2,2,2,2
206,Charlotte,Charleston,1,American Airlines,6.20979021,108,254.3176419,2,2,2,2,2
207,Charlotte,Charleston,2,American Airlines,7.142307692,108,265.4974619,2,2,2,2,2
208,Charlotte,Charleston,3,American Airlines,5.367088608,108,460.5734545,2,2,2,2,2
209,Charlotte,Charleston,4,American Airlines,4.47935368,108,285.7668571,2,2,2,2,2
210,Charlotte,Charlotte Amalie,1,American Airlines,13.625,108,370.4999546,2,2,2,2,2
211,Charlotte,Charlotte Amalie,2,American Airlines,9.626923077,108,395.0429778,2,2,2,2,2
212,Charlotte,Charlotte Amalie,3,American Airlines,16.65145228,108,332.6105025,2,2,2,2,2
213,Charlotte,Charlotte Amalie,4,American Airlines,12.61538462,108,367.4857882,2,2,2,2,2
214,Charlotte,Chicago,1,American Airlines,10.73130841,108,253.7601596,2,2,2,2,2
215,Charlotte,Chicago,2,American Airlines,12.99520843,108,262.852723,2,2,2,2,2
216,Charlotte,Chicago,3,American Airlines,16.43130227,108,271.7209151,2,2,2,2,2
217,Charlotte,Chicago,4,American Airlines,7.761846902,108,226.3450125,2,2,2,2,2
218,Charlotte,Christiansted,1,American Airlines,13.88,108,378.3334167,2,2,2,2,2
219,Charlotte,Christiansted,2,American Airlines,7.133333333,108,327.2503109,2,2,2,2,2
220,Charlotte,Christiansted,3,American Airlines,10.43478261,108,350.1734091,2,2,2,2,2
221,Charlotte,Christiansted,4,American Airlines,20.16666667,108,328.5762667,2,2,2,2,2
222,Charlotte,Cleveland,1,American Airlines,6.479245283,108,243.9704083,2,2,2,2,2
223,Charlotte,Cleveland,2,American Airlines,7.357034796,108,215.4722367,2,2,2,2,2
224,Charlotte,Cleveland,3,American Airlines,6.897347174,108,223.4770709,2,2,2,2,2
225,Charlotte,Cleveland,4,American Airlines,5.158865248,108,222.0336671,2,2,2,2,2
226,Charlotte,Columbus,1,American Airlines,2.5,108,263.4366452,2,2,2,2,2
